Station,Latitude,Longitude,Chlmedian,Chlabovet,Condmed,Condabovet,DOmedian,DObelowt,TPmedian,TPabovet,Nitmed,Nitabovet,JAMeanTemp,NHN_TWS,TWS_NAME,OCEANBAS,ON_QWS,NAME
17000600102,44.08825,-76.88544,9.8,NO,291.0,NO,3.75,YES,0.078,YES,,,22.00,0209,,Atlantic Ocean,029C-01,Aldophus Reach - Bay of Quinte
17000800102,44.00474,-77.12621,20.8,NO,437.0,NO,9.76,NO,0.013,NO,,,0.00,0209,,Atlantic Ocean,029C-01,Aldophus Reach - Bay of Quinte
17000800202,44.00860,-77.13656,87.1,NO,727.0,YES,8.16,NO,0.044,YES,5.070,YES,0.00,0209,,Atlantic Ocean,029C-01,Aldophus Reach - Bay of Quinte
17000900102,44.01696,-77.13611,71.1,NO,797.0,YES,6.83,NO,0.031,YES,,,0.00,0209,,Atlantic Ocean,029C-01,Aldophus Reach - Bay of Quinte
17001400102,44.09081,-77.21061,5.9,NO,293.0,NO,8.71,NO,0.032,YES,,,0.00,0209,,Atlantic Ocean,029C-02,Telegraph Narrows - Bay of Quinte
17001600102,44.10396,-77.39470,12.6,NO,395.0,NO,2.30,YES,0.103,YES,,,0.00,0209,,Atlantic Ocean,029C-02,Telegraph Narrows - Bay of Quinte
17002100302,44.48157,-77.68517,6.3,NO,178.0,NO,8.73,NO,0.011,NO,,,23.56,02HK,Trent,Atlantic Ocean,02HK-03,Crowe Lake - Crowe River
17002100702,44.38066,-77.97732,14.0,NO,429.0,NO,9.58,NO,0.015,NO,0.180,NO,23.09,02HJ,Otonabee,Atlantic Ocean,02HJ-04,Ouse River
17002100802,44.20638,-78.27880,14.3,NO,232.0,NO,9.24,NO,0.019,NO,0.198,NO,23.93,02HJ,Otonabee,Atlantic Ocean,02HJ-02,Otonabee River Outlet
17002101602,44.48733,-78.23462,11.0,NO,200.0,NO,9.23,NO,0.014,NO,0.174,NO,24.21,02HH,Kawartha Lakes,Atlantic Ocean,02HH-01,Stony Lake - Katchewanooka Lake
17002101702,44.55705,-78.20502,11.1,NO,198.0,NO,9.04,NO,0.014,NO,,,24.65,02HH,Kawartha Lakes,Atlantic Ocean,02HH-01,Stony Lake - Katchewanooka Lake
17002101802,44.55468,-78.34459,12.0,NO,213.0,NO,9.35,NO,0.014,NO,,,24.48,02HH,Kawartha Lakes,Atlantic Ocean,02HH-02,Burleigh Falls Dam - Lower Buckhorn Lake
17002102102,44.53860,-78.54622,12.3,NO,200.0,NO,9.44,NO,0.014,NO,0.183,NO,24.58,02HH,Kawartha Lakes,Atlantic Ocean,02HH-04,Bobcaygeon River
17002102302,44.53516,-78.73753,7.2,NO,137.5,NO,9.67,NO,0.009,NO,,,24.36,02HH,Kawartha Lakes,Atlantic Ocean,02HH-04,Bobcaygeon River
17002102502,44.65847,-78.79674,6.1,NO,79.0,NO,9.77,NO,0.008,NO,0.118,NO,24.41,02HF,Gull,Atlantic Ocean,02HF-03,Coboconk Dam - Gull River
17002103802,44.29952,-78.32067,41.9,NO,554.5,YES,9.75,NO,0.035,YES,0.361,NO,18.79,02HJ,Otonabee,Atlantic Ocean,02HJ-03,Lock 19 - Otanabee River
17002104102,44.39552,-78.75350,40.2,NO,460.0,NO,9.43,NO,0.025,NO,0.461,NO,23.45,02HH,Kawartha Lakes,Atlantic Ocean,02HH-04,Bobcaygeon River
17002104602,44.20104,-77.59570,15.4,NO,458.0,NO,10.31,NO,0.024,NO,0.573,NO,22.94,02HK,Trent,Atlantic Ocean,02HK-09,Cold Creek
17002105202,44.56394,-78.34054,2.5,NO,60.0,NO,9.17,NO,0.007,NO,,,23.81,02HH,Kawartha Lakes,Atlantic Ocean,02HH-02,Burleigh Falls Dam - Lower Buckhorn Lake
17002105402,44.57366,-78.78595,6.3,NO,122.0,NO,9.88,NO,0.009,NO,,,24.71,02HF,Gull,Atlantic Ocean,02HF-01,Cameron Lake Dam - Fenelon River
17002105702,44.37636,-77.78641,15.0,NO,252.5,NO,8.89,NO,0.017,NO,0.213,NO,24.94,02HK,Trent,Atlantic Ocean,02HK-02,Crowe Bay Dam - Trent River
17002106502,44.40075,-78.26287,11.5,NO,209.5,NO,9.28,NO,0.016,NO,0.141,NO,24.15,02HJ,Otonabee,Atlantic Ocean,02HJ-03,Lock 19 - Otanabee River
17002106702,44.30809,-77.95612,14.8,NO,247.5,NO,9.65,NO,0.018,NO,0.141,NO,24.97,02HJ,Otonabee,Atlantic Ocean,02HK-02,Crowe Bay Dam - Trent River
17002106802,44.10583,-77.57936,14.1,NO,265.5,NO,9.01,NO,0.020,NO,0.185,NO,24.68,02HK,Trent,Atlantic Ocean,02HK-01,Mayhew Creek - Trent River Outlet
17002107002,44.28881,-78.30763,12.2,NO,210.0,NO,9.34,NO,0.017,NO,0.180,NO,23.98,02HJ,Otonabee,Atlantic Ocean,02HJ-03,Lock 19 - Otanabee River
17002107102,44.19961,-77.81872,12.2,NO,479.5,NO,11.27,NO,0.031,YES,1.000,NO,21.21,02HK,Trent,Atlantic Ocean,02HK-01,Mayhew Creek - Trent River Outlet
17002107402,44.34198,-78.54170,14.5,NO,386.0,NO,9.45,NO,0.018,NO,,,24.62,02HH,Kawartha Lakes,Atlantic Ocean,02HH-03,Pigeon Lake - Gannon Narrows
17002107502,44.74054,-78.65937,7.0,NO,112.0,NO,9.98,NO,0.009,NO,,,23.16,02HF,Gull,Atlantic Ocean,02HF-02,Goose Lake - Burnt River
17002107702,44.13534,-78.45733,6.7,NO,407.5,NO,11.00,NO,0.017,NO,0.789,NO,14.14,02HJ,Otonabee,Atlantic Ocean,02HJ-02,Otonabee River Outlet
17002108602,44.77074,-77.88165,8.7,NO,167.0,NO,8.85,NO,0.019,NO,,,21.74,02HK,Trent,Atlantic Ocean,02HK-04,Cordova Lake Dam - Crowe River
17002109202,44.52680,-77.89834,8.1,NO,160.0,NO,8.50,NO,0.013,NO,,,23.11,02HK,Trent,Atlantic Ocean,02HK-15,Kasshabog Lake - North River
17002109502,44.53392,-77.69752,2.5,NO,194.0,NO,9.28,NO,0.019,NO,,,0.00,02HK,Trent,Atlantic Ocean,02HK-05,Dickey Creek - Beaver Creek
17002111802,44.26366,-77.59664,13.3,NO,252.0,NO,9.16,NO,0.020,NO,0.255,NO,25.11,02HK,Trent,Atlantic Ocean,02HK-01,Mayhew Creek - Trent River Outlet
17002111902,44.28545,-78.82009,27.9,NO,566.5,YES,7.47,NO,0.021,NO,2.100,NO,22.35,02HG,Scugog,Atlantic Ocean,02HG-02,Mariposa Brook
17002112802,44.10990,-77.59454,47.7,NO,520.5,YES,8.90,NO,0.025,NO,0.280,NO,22.05,02HK,Trent,Atlantic Ocean,02HK-01,Mayhew Creek - Trent River Outlet
17002113002,44.32767,-78.73028,29.0,NO,401.0,NO,9.42,NO,0.026,NO,0.610,NO,24.01,02HG,Scugog,Atlantic Ocean,02HG-01,Lake Scugog - Scugog River
17002113302,44.13469,-77.78686,12.4,NO,434.5,NO,11.82,NO,0.020,NO,0.508,NO,21.31,02HK,Trent,Atlantic Ocean,02HK-09,Cold Creek
17002113602,44.20023,-78.94943,42.5,NO,577.5,YES,6.69,NO,0.040,YES,0.409,NO,21.62,02HG,Scugog,Atlantic Ocean,02HG-04,Nonquon River
17002113702,44.13188,-78.82888,37.8,NO,597.0,YES,9.85,NO,0.044,YES,1.450,NO,18.31,02HG,Scugog,Atlantic Ocean,02HG-01,Lake Scugog - Scugog River
17002113802,44.77755,-78.29349,1.4,NO,29.0,NO,9.12,NO,0.016,NO,,,21.19,02HH,Kawartha Lakes,Atlantic Ocean,02HH-05,Mississagua River
17002113902,44.72518,-78.24072,1.6,NO,35.0,NO,9.32,NO,0.005,NO,,,22.89,02HH,Kawartha Lakes,Atlantic Ocean,02HH-05,Mississagua River
17002114002,44.22697,-78.39655,23.1,NO,495.5,NO,9.32,NO,0.022,NO,0.420,NO,20.65,02HJ,Otonabee,Atlantic Ocean,02HJ-06,Cavan Creek
17002114102,44.31042,-78.16020,13.3,NO,265.0,NO,9.65,NO,0.016,NO,,,24.69,02HJ,Otonabee,Atlantic Ocean,02HJ-05,Indian River
17002114202,44.31631,-78.05433,14.5,NO,403.0,NO,10.55,NO,0.021,NO,0.166,NO,25.56,02HJ,Otonabee,Atlantic Ocean,02HJ-04,Ouse River
17002114302,44.32724,-78.04177,20.4,NO,479.0,NO,9.60,NO,0.021,NO,0.740,NO,22.37,02HJ,Otonabee,Atlantic Ocean,02HJ-04,Ouse River
17002114402,44.25876,-78.33458,14.3,NO,223.5,NO,9.02,NO,0.021,NO,0.259,NO,23.64,02HJ,Otonabee,Atlantic Ocean,02HJ-02,Otonabee River Outlet
17002114502,44.83937,-77.92419,8.0,NO,165.0,NO,8.58,NO,0.024,NO,,,21.39,02HK,Trent,Atlantic Ocean,02HK-06,Chandos Lake - Crowe River
17002115602,44.30643,-77.80670,18.3,NO,522.0,YES,10.66,NO,0.073,YES,0.396,NO,22.09,02HK,Trent,Atlantic Ocean,02HK-01,Mayhew Creek - Trent River Outlet
17002115702,44.22442,-77.83930,12.3,NO,442.0,NO,11.50,NO,0.020,NO,0.332,NO,22.51,02HK,Trent,Atlantic Ocean,02HK-10,Percy Creek
17002600102,44.16535,-77.38647,10.3,NO,270.5,NO,9.40,NO,0.015,NO,,,0.00,02HL,Moira,Atlantic Ocean,02HL-01,Palliser Creek - Moira River Outlet
17002600202,44.20605,-77.39321,9.0,NO,258.0,NO,9.03,NO,0.014,NO,,,0.00,02HL,Moira,Atlantic Ocean,02HL-01,Palliser Creek - Moira River Outlet
17002600302,44.45845,-77.29847,6.7,NO,190.5,NO,9.12,NO,0.018,NO,,,0.00,02HL,Moira,Atlantic Ocean,02HL-02,Latta Falls - Moira River
17002600402,44.45752,-77.27672,6.3,NO,192.0,NO,9.04,NO,0.017,NO,,,0.00,02HL,Moira,Atlantic Ocean,02HL-02,Latta Falls - Moira River
17002600602,44.47890,-77.30962,5.5,NO,164.0,NO,9.31,NO,0.015,NO,,,0.00,02HL,Moira,Atlantic Ocean,02HL-02,Latta Falls - Moira River
17002600702,44.48091,-77.27069,5.7,NO,290.0,NO,7.23,NO,0.020,NO,,,0.00,02HL,Moira,Atlantic Ocean,02HL-07,Clare River
17002600902,44.54924,-77.32831,3.4,NO,68.0,NO,8.62,NO,0.015,NO,,,0.00,02HL,Moira,Atlantic Ocean,02HL-03,Skootamatta River
17002601002,44.53958,-77.36943,2.0,NO,95.0,NO,8.63,NO,0.014,NO,,,0.00,02HL,Moira,Atlantic Ocean,02HL-05,Black River
17002601101,44.47836,-77.46816,9.2,NO,292.0,NO,9.12,NO,0.018,NO,,,0.00,02HL,Moira,Atlantic Ocean,02HL-04,Moira Lake at Downey's Weir - Moira River
17002601202,44.49954,-77.47331,19.3,NO,455.0,NO,10.42,NO,0.019,NO,0.161,NO,0.00,02HL,Moira,Atlantic Ocean,02HL-04,Moira Lake at Downey's Weir - Moira River
17002601302,44.49961,-77.61789,8.8,NO,265.0,NO,10.04,NO,0.019,NO,0.150,NO,0.00,02HL,Moira,Atlantic Ocean,02HL-04,Moira Lake at Downey's Weir - Moira River
17002601902,44.56277,-77.60304,8.3,NO,259.0,NO,9.36,NO,0.017,NO,0.179,NO,0.00,02HL,Moira,Atlantic Ocean,02HL-08,Deloro Ruins - Moira RIver
17002602302,44.50971,-77.39072,8.9,NO,267.5,NO,8.98,NO,0.016,NO,,,0.00,02HL,Moira,Atlantic Ocean,02HL-04,Moira Lake at Downey's Weir - Moira River
17003100102,44.19624,-77.22940,7.6,NO,262.5,NO,8.86,NO,0.016,NO,,,0.00,02HM,Napanee,Atlantic Ocean,02HM-02,Fisher Creek - Salmon River Outlet
17003500202,44.27770,-76.92818,10.2,NO,250.5,NO,8.45,NO,0.024,NO,,,0.00,02HM,Napanee,Atlantic Ocean,02HM-01,Napanee River Outlet
17003500402,44.32345,-76.87528,8.2,NO,224.5,NO,9.12,NO,0.022,NO,,,0.00,02HM,Napanee,Atlantic Ocean,02HM-01,Napanee River Outlet
17003700302,44.23925,-76.84914,43.6,NO,579.0,YES,8.83,NO,0.023,NO,0.270,NO,0.00,02HM,Napanee,Atlantic Ocean,02HM-08,Wilton Creek - Little Creek
18000017002,45.47495,-76.23814,,,,,,,,,,,24.21,02KF,Central Ottawa - Mississippi,Atlantic Ocean,02KF-01,Chaudière Falls - Ottawa River
18000036002,46.37871,-78.72896,,,,,,,,,,,19.22,02JE,Upper Ottawa - Kipawa,Atlantic Ocean,02JE-01,Mattawa River - Ottawa River
18003300302,45.02736,-75.64159,,,,,,,,,,,24.01,02LA,Rideau,Atlantic Ocean,02LA-08,Kemptville Creek
18003300802,44.89281,-76.19725,,,,,,,,,,,24.84,02LA,Rideau,Atlantic Ocean,02LA-06,Tay River
18003302302,44.75978,-76.51957,,,,,,,,,,,25.08,02LA,Rideau,Atlantic Ocean,02LA-06,Tay River
18003302602,44.88737,-75.92730,,,,,,,,,,,25.04,02LA,Rideau,Atlantic Ocean,02LA-03,Burritts Rapids Dam - Rideau River
