OID_,gradient,modificati,modificat1,modified,monitoring,municipali,natureofev,entrancelo,provincete,nhnwatersh,fishpassty,operatingn,operatedby,architect,constructe,length_m,contracted,depth_m,designedon,elevationm,engineerin,estimateof,estimateo1,fishwayref,hasevaluat,knownnotus,latitude,longitude,maxfishway,meanfishwa,entrancepo,completele,operationp,plansheldb,purpose,rivernamee,rivernamef,nhnwaters1,completel1,cabd_id,dam_id,known_use,datasource,featuretyp,waterbodyn,waterbody1,yearconstr,entrancep1,entrancel1,provincet1,fishpasst1,structuren,structure1,PRPWSHID,NHN7DWSH,NHN4DWSH
10,9.100000000000000, ,0,0, ,Mount Waddington A, ,2,bc,Eastern Queen Charlotte Strait,6,"South of Kingcome, B.C.",Fisheries and Oceans Canada, ,Fisheries and Oceans Canada,22.000000000000000,Fisheries and Oceans Canada,2.300000000000000,1,2.100000000000000,"Pool volume 13.11 cubic meters

Slot width 0.305

Pool Length 3.15m, 7 pools

Pool width 1.81m",0.000000000000000,0.000000000000000, ,0, ,50.827500000000001,-125.991110000000006,0.000000000000000,0.000000000000000,2,0, ,Fisheries and Oceans Canada,to pass fish upstream of the rapids,Kakweiken River, ,08GF001, ,f509baf0-bffb-4d6a-b2ee-f5a0c3f8206a, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/f509baf0-bffb-4d6a-b2ee-f5a0c3f8206a,fishways, , ,1980,Surface,Bank,British Columbia,Vertical slot,Kakweiken River fishway B, ,BC_89,08GF001,08GF
11,0.000000000000000, ,0,0, ,Annapolis Royal, ,0,ns,Annapolis,9, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,44.753037924099999,-65.512643562199997,0.000000000000000,0.000000000000000,0,0, , , , , ,01DC000, ,09f4bce4-22b5-4c74-a047-6bc5714ff85a,c88c2f92-a622-42eb-9547-027d998c6a45, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/09f4bce4-22b5-4c74-a047-6bc5714ff85a,fishways, , ,0, , ,Nova Scotia,Unknown,Annapolis C'way, , ,01DC000,01DC
12,0.000000000000000, ,0,0, ,Wilmot, ,2,on,Upper Grand,6, ,MNR, , ,0.000000000000000, ,0.000000000000000,0,2.900000000000000, ,0.000000000000000,0.000000000000000, ,0, ,43.376580560000001,-80.711327780000005,0.000000000000000,0.000000000000000,0,0, , , , , ,02GA000, ,0d8cf703-d17b-4142-8cf9-d9aa7c8cbe48,8a8a0ead-97e3-4cb9-9732-f4e8bfdabc75,"{""Common carp (Cyprinus carpio)"",""White sucker (Catostomus commersonii)"",""Smallmouth bass (Micropterus dolomieu)"",""Walleye (Sander vitreus)"",""Rainbow/steelhead trout (Oncorhynchus mykiss)""}",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/0d8cf703-d17b-4142-8cf9-d9aa7c8cbe48,fishways, , ,0, ,Bank,Ontario,Vertical slot,New Hamburg Fishway, ,ON-02GA-12,02GA000,02GA
13,15.600000000000000, ,0,0, ,North Shore, ,0,pe,Central Prince Edward Island - Hillsborough,3, , , , ,21.800000000000001, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,46.331374619999998,-63.066141379999998,0.000000000000000,0.000000000000000,0,0, , , ,Winter River, ,01CC000, ,d4b585e9-f090-4457-be8f-feb3b9f49cd7,e1e9afe8-4445-45c7-a71a-142f4abd65fe,{""Alewife (Alosa pseudoharengus)""},https://cabd-web.azurewebsites.net/cabd-api/features/datasources/d4b585e9-f090-4457-be8f-feb3b9f49cd7,fishways,Officer's Pond (Winter River), ,0, , ,Prince Edward Island,Pool and weir, , , ,01CC000,01CC
14,0.000000000000000, ,0,0,Fish counts,Strathcona D (Oyster Bay - Buttle Lake),fish counts,1,bc,East Central Vancouver Island,2,Collobarative effort to construct fishways between DFO and HBI (Haig Brown Institute), , ,Van Tine and Associates,0.000000000000000,Haig-Brown Institute,0.000000000000000,1,0.000000000000000,"Bedrock was chipped away in order to create fish stairs

'Cascade fishway'",0.000000000000000,0.000000000000000, ,1, ,49.976666670000000,-125.321261100000001,0.000000000000000,0.000000000000000,4,0, ,Van Tine and Asscociates,To allow for upstream passage of Pink salmon,Quinsam River, ,08HD001, ,051621b7-116d-492c-87bb-afbcc977fb8b, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/051621b7-116d-492c-87bb-afbcc977fb8b,fishways, , ,2005,Mid-column,Midstream,British Columbia,Nature-like fishway,Quinsam River falls fishway 1, ,BC_20,08HD001,08HD
15,0.000000000000000, ,0,0,Fish counts,Campbell River,fish counts,1,bc,East Central Vancouver Island,2,Collobarative effort to construct fishways between DFO and HBI (Haig Brown Institute), , ,Van Tine and Associates,0.000000000000000,Haig-Brown Institute,0.000000000000000,1,0.000000000000000,"Bedrock was chipped away in order to create fish stairs

'Cascade fishway'",0.000000000000000,0.000000000000000, ,1, ,49.986597220000000,-125.308213899999998,0.000000000000000,0.000000000000000,4,0, ,Van Tine and Asscociates,To allow for upstream passage of Pink salmon,Quinsam River, ,08HD001, ,d68a695c-33f7-4d9c-9fc6-252d4fa7d4a0, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/d68a695c-33f7-4d9c-9fc6-252d4fa7d4a0,fishways, , ,2005,Mid-column,Midstream,British Columbia,Nature-like fishway,Quinsam River falls fishway 3, ,BC_20,08HD001,08HD
16,0.000000000000000, ,0,0,Fish counts,Campbell River,fish counts,1,bc,East Central Vancouver Island,2,Collobarative effort to construct fishways between DFO and HBI (Haig Brown Institute), , ,Van Tine and Associates,0.000000000000000,Haig-Brown Institute,0.000000000000000,1,0.000000000000000,"Bedrock was chipped away in order to create fish stairs

'Cascade fishway'",0.000000000000000,0.000000000000000, ,1, ,49.986622220000001,-125.305213899999998,0.000000000000000,0.000000000000000,4,0, ,Van Tine and Asscociates,To allow for upstream passage of Pink salmon,Quinsam River, ,08HD001, ,f68192aa-f921-4fd0-bdec-1a41aaa38097, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/f68192aa-f921-4fd0-bdec-1a41aaa38097,fishways, , ,2005,Mid-column,Midstream,British Columbia,Nature-like fishway,Quinsam River falls fishway 4, ,BC_20,08HD001,08HD
17,0.000000000000000, ,0,0, ,View Royal, ,2,bc,Southern Vancouver Island,4, ,City of Langford, , ,0.000000000000000,City of Langford,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,48.452252780000002,-123.465452799999994,0.000000000000000,0.000000000000000,2,0, , ,restore a natural run of coho to the reach,Millstream Creek, ,08HAD00, ,1d5063ff-32a9-4edb-b431-316e9080bddd, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/1d5063ff-32a9-4edb-b431-316e9080bddd,fishways, , ,2002,Surface,Bank,British Columbia,Pool and weir with hole,Millstream Creek Fishway 3, ,BC_243,08HAD00,08HA
18,0.000000000000000, ,0,0, ,View Royal, ,2,bc,Southern Vancouver Island,4, ,City of Langford, , ,0.000000000000000,City of Langford,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,48.456269440000000,-123.463416699999996,0.000000000000000,0.000000000000000,2,0, , ,restore a natural run of coho to the reac,Millstream Creek, ,08HAD00, ,5c75baae-90a6-4bd4-a0dd-80255942f950, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5c75baae-90a6-4bd4-a0dd-80255942f950,fishways, , ,2002,Surface,Bank,British Columbia,Pool and weir with hole,Millstream Creek fishway 4, , ,08HAD00,08HA
19,0.000000000000000, ,0,0, ,North Vancouver, ,0,bc,Strait of Georgia - Squamish,3,Fish get passed into the hatchery not upstream of the dam,Fisheries and Ocean Canada, ,Fisheries and Ocean Canada,250.000000000000000,Fisheries and Ocean Canada,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,49.356597219999998,-123.115333000000007,0.000000000000000,0.000000000000000,0,0,decdec,Fisheries and Ocean Canada,to pass fish into the hatchery,Capilano River, ,08GABX1, ,43a32a9e-a683-4904-9cea-cd17fae186d9, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/43a32a9e-a683-4904-9cea-cd17fae186d9,fishways, , ,1971, , ,British Columbia,Pool and weir,Capilano Fish Hatchery fishway, ,BC_190,08GABX1,08GAA
20,0.000000000000000,"Pass larger juvenile trout, improve recruitment to Cameron Lake",2006,1, ,Nanaimo F, ,0,bc,South Central Vancouver Island,9, , , ,"DFO, BC MOE, BCCF",0.000000000000000, ,0.000000000000000,0,0.000000000000000,"Pre-fabricated aluminum fishway and gate valve

GPS location may be incorrect",0.000000000000000,0.000000000000000, ,0, ,49.289611110000003,-124.658138899999997,0.000000000000000,0.000000000000000,0,0, , ,Pass juvenile trout,Little Qualicum river, ,08HB002, ,3495ad2c-7e1e-4342-baaf-a62b521842bb, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/3495ad2c-7e1e-4342-baaf-a62b521842bb,fishways, , ,0, , ,British Columbia,Unknown,Little Qualicum weir, ,BC_165,08HB002,08HB
21,0.000000000000000, ,0,0, ,Comox Valley C (Puntledge - Black Creek), ,1,bc,South Central Vancouver Island,4, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,49.670083300000002,-125.079341700000001,0.000000000000000,0.000000000000000,2,0, , ,Facilitate upstream migration of salmonids,Puntledge River, ,08HB0X3, ,73c6440e-0047-4273-831e-bbf84f82c5fe, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/73c6440e-0047-4273-831e-bbf84f82c5fe,fishways, , ,1977,Surface,Midstream,British Columbia,Pool and weir with hole,Nib Falls 1, ,BC_34,08HB0X3,08HB
22,0.000000000000000, ,0,0, ,Comox Valley C (Puntledge - Black Creek), ,1,bc,South Central Vancouver Island,4,Operates year round and is a permanent feature in the river., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,This fishway consists of 2 sets of rock blasted fish stairs,0.000000000000000,0.000000000000000, ,0, ,49.670819440000002,-125.077966700000005,0.000000000000000,0.000000000000000,0,0, , ,Facilitate upstream migration of salmonids,Puntledge River, ,08HB0X3, ,b39d06c8-c9b8-4cda-9987-894d9c9d416b, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/b39d06c8-c9b8-4cda-9987-894d9c9d416b,fishways, , ,1977, ,Midstream,British Columbia,Pool and weir with hole,Nib Falls 2, ,BC_34,08HB0X3,08HB
23,0.000000000000000, ,0,0, ,Comox Valley C (Puntledge - Black Creek), ,2,bc,South Central Vancouver Island,6,"Not currently functioning due to low water flows, tributary of the Puntledge River.", , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,Constructed to allow fish to bypass the falls,0.000000000000000,0.000000000000000, ,0, ,49.692144440000000,-125.062716699999996,0.000000000000000,0.000000000000000,0,0, , , ,Brown's creek, ,08HB0X3, ,9635d31f-d87e-4b7b-9440-3107e0ce6629, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/9635d31f-d87e-4b7b-9440-3107e0ce6629,fishways, , ,0, ,Bank,British Columbia,Vertical slot,Brown's Falls, ,BC_34,08HB0X3,08HB
24,0.000000000000000, ,0,0, ,Coldstream, ,0,bc,Okanagan,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,50.222850000000001,-119.235113900000002,0.000000000000000,0.000000000000000,0,0, , , ,Coldstream Creek, ,08NM000, ,6ba43779-8181-4e6f-9788-710069988c0f, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/6ba43779-8181-4e6f-9788-710069988c0f,fishways, , ,1995, , ,British Columbia,Pool and weir,Coldstream Creek, ,BC_161,08NM000,08NM
25,0.000000000000000, ,0,0, ,Comox Valley C (Puntledge - Black Creek), ,1,bc,South Central Vancouver Island,4,This fishway operates year round and is a permanent feature in the river., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,The fishway consists of 3 sets of rock blasted fish stairs.,0.000000000000000,0.000000000000000, ,0, ,49.681486110000002,-125.056244399999997,0.000000000000000,0.000000000000000,2,0, , ,Facilitate upstream migration of salmonids,Puntledge River, ,08HB0X3, ,1ce0aea2-fb1e-4683-b49b-75577a29fba2, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/1ce0aea2-fb1e-4683-b49b-75577a29fba2,fishways, , ,1977,Surface,Midstream,British Columbia,Pool and weir with hole,Stotan Falls 1, ,BC_34,08HB0X3,08HB
26,0.000000000000000, ,0,0, ,Comox Valley C (Puntledge - Black Creek), ,1,bc,South Central Vancouver Island,4,This fishway operates year round and is a permanent feature in the river., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,The fishway consists of 3 sets of rock blasted fish stairs.,0.000000000000000,0.000000000000000, ,0, ,49.682005560000000,-125.054305600000006,0.000000000000000,0.000000000000000,2,0, , ,Facilitate upstream migration of salmonids,Puntledge River, ,08HB0X3, ,7fc62792-60b8-45b1-8526-489618e50304, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/7fc62792-60b8-45b1-8526-489618e50304,fishways, , ,1977,Surface,Midstream,British Columbia,Pool and weir with hole,Stotan Falls 2, ,BC_34,08HB0X3,08HB
27,0.000000000000000, ,0,0, ,Alberni-Clayoquot B,"data counts, snorkelling counts",2,bc,South Central Vancouver Island,6, , , , ,149.000000000000000, ,0.000000000000000,0,0.000000000000000,37 baffles,0.000000000000000,0.000000000000000, ,0, ,49.332225000000001,-124.918105600000004,0.000000000000000,0.000000000000000,2,0, , , ,Stamp River, ,08HB001, ,e97f33e0-1ab8-4fa2-854e-27894ff159b0, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/e97f33e0-1ab8-4fa2-854e-27894ff159b0,fishways, , ,0,Surface,Bank,British Columbia,Vertical slot,Stamp Falls, ,BC_2,08HB001,08HB
28,0.000000000000000, ,0,0,Counts,Klehkoot 2, ,2,bc,South Central Vancouver Island,6,2009 observations 225-1480 Sockeye per day through the fishway, , , ,49.000000000000000, ,0.000000000000000,0,0.000000000000000,15 pools,0.000000000000000,0.000000000000000, ,0, ,49.290394440000000,-124.902727799999994,0.000000000000000,0.000000000000000,2,0, , , ,Sproat River, ,08HB001, ,cf9cbfc2-6d4a-40ce-9c69-00dd2c6f71e6, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/cf9cbfc2-6d4a-40ce-9c69-00dd2c6f71e6,fishways, , ,0,Surface,Bank,British Columbia,Vertical slot,Sproat Lake Weir, ,BC_2,08HB001,08HB
29,0.000000000000000, ,0,0, ,Alberni-Clayoquot A, ,2,bc,Southern Vancouver Island,3,Hatchery operation is largest in Canada, , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,48.856727780000000,-124.654430599999998,0.000000000000000,0.000000000000000,2,0, , , ,Nitinat River, ,08HA0X2, ,b85d3a45-4d80-4065-9260-221d2943da64, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/b85d3a45-4d80-4065-9260-221d2943da64,fishways, , ,0,Surface,Bank,British Columbia,Pool and weir,Nitinat River fishway, ,BC_178,08HA0X2,08HA
30,0.000000000000000, ,0,0,water gauge monitors flow,Cariboo J, ,0,bc,Chilcotin,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,52.191002779999998,-123.837702800000002,0.000000000000000,0.000000000000000,0,0, , , ,Puntzi Creek, ,08MB001, ,98550b31-74e0-48ed-be2b-c727e30c8a68, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/98550b31-74e0-48ed-be2b-c727e30c8a68,fishways, , ,0, , ,British Columbia,Pool and weir,Puntzi Creek, ,BC_219,08MB001,08MB
31,0.000000000000000, ,0,0, ,Halifax, ,0,ns,Musquodoboit,9, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,44.692444000000002,-63.499822999999999,0.000000000000000,0.000000000000000,0,0, , , ,Cranberry Lake, ,01EK000, ,d5cd6233-5d1c-49d5-ad04-e62839b57ae2, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/d5cd6233-5d1c-49d5-ad04-e62839b57ae2,fishways, , ,0, , ,Nova Scotia,Unknown, , , ,01DG000,01DG
32,0.000000000000000, ,0,0, ,Penticton 1, ,2,bc,Okanagan,3,"Operational during high flows unless blocked by debris

Fishway probably does not work, no fish were observed above the dam between 2000-2003 during spawning season", , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,49.478147219999997,-119.631100000000004,0.000000000000000,0.000000000000000,2,0, , ,to pass Kokanee upstream,Shingle Creek, ,08NM000, ,0da99590-29d3-4d17-81a1-3ae5dbdec751, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/0da99590-29d3-4d17-81a1-3ae5dbdec751,fishways, , ,0,Surface,Bank,British Columbia,Pool and weir,Shingle Creek water intake dam, ,BC_161,08NM000,08NM
33,0.000000000000000,"Improve attraction to fishway entrance, and improve intake into the fishway",1998,1, ,Cache Creek,Telemetry Study on Steelhead migration through fishway,2,bc,Thompson - Mouth,6,"Natural barrier is 7m falls, part of the Bonaparte River watershed", , , ,0.000000000000000,Habitat Conservation Trust Fund,0.000000000000000,1,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,50.793108330000003,-121.311785999999998,0.000000000000000,0.000000000000000,1,0, , ,Allow migration past natural barrier of the falls,Cache Creek, ,08LF003, ,49104293-ba2a-402e-9df4-b18019034ee1, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/49104293-ba2a-402e-9df4-b18019034ee1,fishways, , ,1988,Bottom,Bank,British Columbia,Vertical slot,Cache Creek Falls, ,BC_14,08LF003,08LF
34,0.000000000000000, ,0,0, ,Fraser Valley A,studied fish approach and passage,2,bc,Lower Fraser - Nahatlatch,6, , , ,International Pacific Salmon Fisheries Commission,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,49.781681821500001,-121.450398058000005,0.000000000000000,0.000000000000000,0,0, , ,To help with upstream passage of salmonids,Fraser River, ,08MF001, ,db48fa1e-484a-429a-a307-dd0f4502af68, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/db48fa1e-484a-429a-a307-dd0f4502af68,fishways, , ,1947, ,Bank,British Columbia,Vertical slot,Hell's Gate west bank fishway, ,BC_55,08MF001,08MF
35,0.000000000000000, ,0,0, ,Fraser Valley A,studied fish approach and passage,2,bc,Lower Fraser - Nahatlatch,6, , , ,International Pacific Salmon Fisheries Commission,130.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,49.781386390300000,-121.449130701000001,0.000000000000000,0.000000000000000,0,0, , ,To facilitate upstream passage of salmonids,Fraser River, ,08MF001, ,b3715f3f-6276-47b3-8be5-8c40031f9a1f, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/b3715f3f-6276-47b3-8be5-8c40031f9a1f,fishways, , ,1947, ,Bank,British Columbia,Vertical slot,Hell's Gate east bank fishway, ,BC_55,08MF001,08MF
36,0.000000000000000, ,0,0, ,Cowichan Valley F, ,0,bc,Southern Vancouver Island,3,Near Cowichan River Hatchery, , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,48.783377780000002,-123.955052800000004,0.000000000000000,0.000000000000000,0,0, , , ,Cowichan River, ,08HA0X3, ,b8679878-253f-46f2-9d60-1b144a423cb2, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/b8679878-253f-46f2-9d60-1b144a423cb2,fishways, , ,0, , ,British Columbia,Pool and weir,Skutz Falls fishway 2, ,BC_36,08HA0X3,08HA
